i,i_user_agg_count_mean,i_user_agg_count_std,i_user_agg_count_max,i_user_agg_count_median,i_user_agg_amount_mean,i_user_agg_amount_std,i_user_agg_amount_max,i_user_agg_amount_median
15242010,1.0,0.0,1,1,2.5,0.0,2.5,2.5
15242027,1.0,0.0,1,1,2.4,0.0,2.4,2.4
15242028,1.0,0.0,1,1,6.0,0.0,6.0,6.0
15242031,1.0,0.0,1,1,9.5,0.0,9.5,9.5
15242042,1.0,0.0,1,1,14.5,0.0,14.5,14.5
15242044,1.0,0.0,1,1,18.5,0.0,18.5,18.5
15242050,1.0,0.0,1,1,12.0,0.0,12.0,12.0
15243001,1.0,0.0,1,1,2.0,0.0,2.0,2.0
15249001,1.0,0.0,1,1,2.0,0.0,2.0,2.0
15250004,1.0,0.0,1,1,16.5,0.0,16.5,16.5
15250006,1.0,0.0,1,1,32.9,0.0,32.9,32.9
15250007,1.0,0.0,1,1,22.5,0.0,22.5,22.5
15261001,2.0,0.0,2,2,4.8,0.0,4.8,4.8
15262000,1.5,0.5,2,2,4.35,1.45,5.8,5.8
15262002,1.5,0.5,2,2,6.45,2.15,8.6,8.6
15263000,1.0,0.0,1,1,2.8,0.0,2.8,2.8
15263001,2.33,1.25,4,2,3.5,1.87,6.0,3.0
15263002,1.0,0.0,1,1,17.0,0.0,17.0,17.0
15263006,1.5,0.5,2,2,5.95,2.55,8.5,8.5
15263011,1.5,0.5,2,2,6.65,2.85,9.5,9.5
15319001,1.0,0.0,1,1,13.8,0.0,13.8,13.8
15320002,1.0,0.0,1,1,10.9,0.0,10.9,10.9
15321002,1.0,0.0,1,1,11.8,0.0,11.8,11.8
15323003,2.0,0.0,2,2,31.6,0.0,31.6,31.6
15330000,2.0,0.0,2,2,25.6,0.0,25.6,25.6
15339001,1.25,0.43,2,1,13.5,4.68,21.6,10.8
15340045,1.0,0.0,1,1,29.9,0.0,29.9,29.9
15343006,1.0,0.0,1,1,7.9,0.0,7.9,7.9
15343007,1.5,0.5,2,2,17.55,5.85,23.4,23.4
15343010,1.0,0.0,1,1,9.6,0.0,9.6,9.6
15343021,1.0,0.0,1,1,7.9,0.0,7.9,7.9
15401002,1.0,0.0,1,1,22.8,0.0,22.8,22.8
15401006,1.0,0.0,1,1,31.3,1.5,32.8,32.8
15402007,1.0,0.0,1,1,12.6,0.4,12.8,12.8
15402013,1.0,0.0,1,1,17.9,0.0,17.9,17.9
15402027,1.0,0.0,1,1,32.8,0.0,32.8,32.8
15402029,1.0,0.0,1,1,32.8,0.0,32.8,32.8
15402030,1.0,0.0,1,1,29.8,0.0,29.8,29.8
15402034,1.0,0.0,1,1,13.8,0.0,13.8,13.8
15404002,1.0,0.0,1,1,39.9,0.0,39.9,39.9
